
[2025-12-06 14:13:36,503] [INFO] [real_accelerator.py:260:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2025-12-06 14:13:38,060] [INFO] [logging.py:107:log_dist] [Rank -1] [TorchCheckpointEngine] Initialized with serialization = False
{'loss': 1.0517, 'grad_norm': 0.4312444031238556, 'learning_rate': 1.5976331360946746e-05, 'epoch': 0.01}
{'loss': 0.933, 'grad_norm': 0.37084105610847473, 'learning_rate': 3.3727810650887574e-05, 'epoch': 0.02}
{'loss': 0.806, 'grad_norm': 0.41173839569091797, 'learning_rate': 5.147928994082839e-05, 'epoch': 0.03}
{'loss': 0.6628, 'grad_norm': 0.4482395350933075, 'learning_rate': 6.923076923076922e-05, 'epoch': 0.04}
{'loss': 0.5546, 'grad_norm': 0.3243986666202545, 'learning_rate': 8.698224852071005e-05, 'epoch': 0.05}
{'loss': 0.534, 'grad_norm': 0.3960297703742981, 'learning_rate': 0.00010473372781065089, 'epoch': 0.06}
{'loss': 0.5364, 'grad_norm': 0.5285213589668274, 'learning_rate': 0.0001224852071005917, 'epoch': 0.07}
{'loss': 0.4705, 'grad_norm': 0.24971967935562134, 'learning_rate': 0.00014023668639053254, 'epoch': 0.09}
{'loss': 0.4755, 'grad_norm': 0.2821143865585327, 'learning_rate': 0.00015798816568047337, 'epoch': 0.1}
{'loss': 0.483, 'grad_norm': 0.30734193325042725, 'learning_rate': 0.00017573964497041419, 'epoch': 0.11}
{'loss': 0.4847, 'grad_norm': 0.38702815771102905, 'learning_rate': 0.000193491124260355, 'epoch': 0.12}
{'loss': 0.4713, 'grad_norm': 0.3351465165615082, 'learning_rate': 0.00021124260355029586, 'epoch': 0.13}
{'loss': 0.4948, 'grad_norm': 0.36528557538986206, 'learning_rate': 0.00022899408284023667, 'epoch': 0.14}
{'loss': 0.4913, 'grad_norm': 0.2894740104675293, 'learning_rate': 0.0002467455621301775, 'epoch': 0.15}
{'loss': 0.4323, 'grad_norm': 0.2690278887748718, 'learning_rate': 0.0002644970414201183, 'epoch': 0.16}
{'loss': 0.46, 'grad_norm': 0.2827005982398987, 'learning_rate': 0.00028224852071005914, 'epoch': 0.17}
{'loss': 0.434, 'grad_norm': 0.3433850109577179, 'learning_rate': 0.0003, 'epoch': 0.18}
{'loss': 0.423, 'grad_norm': 0.24490369856357574, 'learning_rate': 0.0002999974996411063, 'epoch': 0.19}
{'loss': 0.4591, 'grad_norm': 0.31691232323646545, 'learning_rate': 0.00029998999864778243, 'epoch': 0.2}
{'loss': 0.4048, 'grad_norm': 0.2261362373828888, 'learning_rate': 0.00029997749727009754, 'epoch': 0.21}
{'loss': 0.4404, 'grad_norm': 0.24194148182868958, 'learning_rate': 0.00029995999592482387, 'epoch': 0.22}
{'loss': 0.4543, 'grad_norm': 0.2957402169704437, 'learning_rate': 0.0002999374951954234, 'epoch': 0.24}
{'loss': 0.4311, 'grad_norm': 0.24454227089881897, 'learning_rate': 0.00029990999583202817, 'epoch': 0.25}
{'loss': 0.4172, 'grad_norm': 0.3282986581325531, 'learning_rate': 0.00029987749875141516, 'epoch': 0.26}
{'loss': 0.4869, 'grad_norm': 0.387417733669281, 'learning_rate': 0.00029984000503697594, 'epoch': 0.27}
{'loss': 0.439, 'grad_norm': 0.27544111013412476, 'learning_rate': 0.00029979751593868037, 'epoch': 0.28}
{'loss': 0.4231, 'grad_norm': 0.3715464472770691, 'learning_rate': 0.000299750032873035, 'epoch': 0.29}
{'loss': 0.4424, 'grad_norm': 0.318064421415329, 'learning_rate': 0.00029969755742303603, 'epoch': 0.3}
{'loss': 0.4093, 'grad_norm': 0.3376026153564453, 'learning_rate': 0.00029964009133811616, 'epoch': 0.31}
{'loss': 0.4506, 'grad_norm': 0.21547451615333557, 'learning_rate': 0.00029957763653408654, 'epoch': 0.32}
{'loss': 0.4753, 'grad_norm': 0.2697659134864807, 'learning_rate': 0.00029951019509307284, 'epoch': 0.33}
{'loss': 0.4336, 'grad_norm': 0.304075688123703, 'learning_rate': 0.0002994377692634458, 'epoch': 0.34}
{'loss': 0.4075, 'grad_norm': 0.31401681900024414, 'learning_rate': 0.0002993603614597464, 'epoch': 0.35}
{'loss': 0.4124, 'grad_norm': 0.33889031410217285, 'learning_rate': 0.0002992779742626051, 'epoch': 0.36}
{'loss': 0.4362, 'grad_norm': 0.3442457914352417, 'learning_rate': 0.000299190610418656, 'epoch': 0.37}
{'loss': 0.3803, 'grad_norm': 0.3445824086666107, 'learning_rate': 0.00029909827284044536, 'epoch': 0.39}
{'loss': 0.4151, 'grad_norm': 0.2647571563720703, 'learning_rate': 0.0002990009646063344, 'epoch': 0.4}
{'loss': 0.3739, 'grad_norm': 0.22533193230628967, 'learning_rate': 0.0002988986889603964, 'epoch': 0.41}
{'loss': 0.3957, 'grad_norm': 0.34003934264183044, 'learning_rate': 0.00029879144931230906, 'epoch': 0.42}
{'loss': 0.4254, 'grad_norm': 0.2544301450252533, 'learning_rate': 0.0002986792492372405, 'epoch': 0.43}
{'loss': 0.4356, 'grad_norm': 0.3157470226287842, 'learning_rate': 0.00029856209247573003, 'epoch': 0.44}
{'loss': 0.3847, 'grad_norm': 0.2504652440547943, 'learning_rate': 0.00029843998293356376, 'epoch': 0.45}
{'loss': 0.4225, 'grad_norm': 0.3305063247680664, 'learning_rate': 0.00029831292468164404, 'epoch': 0.46}
{'loss': 0.4408, 'grad_norm': 0.29160311818122864, 'learning_rate': 0.000298180921955854, 'epoch': 0.47}
{'loss': 0.3676, 'grad_norm': 0.22883467376232147, 'learning_rate': 0.0002980439791569161, 'epoch': 0.48}
{'loss': 0.3753, 'grad_norm': 0.28326982259750366, 'learning_rate': 0.0002979021008502456, 'epoch': 0.49}
{'loss': 0.4107, 'grad_norm': 0.312049925327301, 'learning_rate': 0.0002977552917657984, 'epoch': 0.5}
{'loss': 0.3764, 'grad_norm': 0.3256761431694031, 'learning_rate': 0.000297603556797913, 'epoch': 0.51}
{'loss': 0.3863, 'grad_norm': 0.3688657879829407, 'learning_rate': 0.00029744690100514797, 'epoch': 0.52}
{'loss': 0.3987, 'grad_norm': 0.35806480050086975, 'learning_rate': 0.00029728532961011253, 'epoch': 0.54}
{'loss': 0.3888, 'grad_norm': 0.3592159152030945, 'learning_rate': 0.0002971188479992931, 'epoch': 0.55}
