{'loss': 4.5358, 'grad_norm': 41.35681915283203, 'learning_rate': 1.5976331360946746e-05, 'epoch': 0.01}
{'loss': 2.9435, 'grad_norm': 10.633413314819336, 'learning_rate': 3.3727810650887574e-05, 'epoch': 0.02}
{'loss': 1.8482, 'grad_norm': 7.841306209564209, 'learning_rate': 5.147928994082839e-05, 'epoch': 0.03}
{'loss': 1.2614, 'grad_norm': 7.065946102142334, 'learning_rate': 6.923076923076922e-05, 'epoch': 0.04}
{'loss': 1.038, 'grad_norm': 4.818845272064209, 'learning_rate': 8.698224852071005e-05, 'epoch': 0.05}
{'loss': 0.918, 'grad_norm': 4.343477249145508, 'learning_rate': 0.00010473372781065089, 'epoch': 0.06}
{'loss': 0.8636, 'grad_norm': 4.250880718231201, 'learning_rate': 0.0001224852071005917, 'epoch': 0.07}
{'loss': 0.7715, 'grad_norm': 3.825723171234131, 'learning_rate': 0.00014023668639053254, 'epoch': 0.09}
{'loss': 0.7197, 'grad_norm': 3.2248847484588623, 'learning_rate': 0.00015798816568047337, 'epoch': 0.1}
{'loss': 0.758, 'grad_norm': 2.9451215267181396, 'learning_rate': 0.00017573964497041419, 'epoch': 0.11}
{'loss': 0.7256, 'grad_norm': 4.013730525970459, 'learning_rate': 0.000193491124260355, 'epoch': 0.12}
{'loss': 0.7069, 'grad_norm': 2.869624137878418, 'learning_rate': 0.00021124260355029586, 'epoch': 0.13}
{'loss': 0.7207, 'grad_norm': 2.9255218505859375, 'learning_rate': 0.00022899408284023667, 'epoch': 0.14}
{'loss': 0.7333, 'grad_norm': 2.4364960193634033, 'learning_rate': 0.0002467455621301775, 'epoch': 0.15}
{'loss': 0.6388, 'grad_norm': 1.9102932214736938, 'learning_rate': 0.0002644970414201183, 'epoch': 0.16}
{'loss': 0.6811, 'grad_norm': 2.8225982189178467, 'learning_rate': 0.00028224852071005914, 'epoch': 0.17}
{'loss': 0.653, 'grad_norm': 3.2612552642822266, 'learning_rate': 0.0003, 'epoch': 0.18}
{'loss': 0.611, 'grad_norm': 2.7241976261138916, 'learning_rate': 0.0002999974996411063, 'epoch': 0.19}
{'loss': 0.6749, 'grad_norm': 2.0939221382141113, 'learning_rate': 0.00029998999864778243, 'epoch': 0.2}
{'loss': 0.5983, 'grad_norm': 1.7453131675720215, 'learning_rate': 0.00029997749727009754, 'epoch': 0.21}
{'loss': 0.6387, 'grad_norm': 1.8749619722366333, 'learning_rate': 0.00029995999592482387, 'epoch': 0.22}
{'loss': 0.6593, 'grad_norm': 2.074882745742798, 'learning_rate': 0.0002999374951954234, 'epoch': 0.24}
{'loss': 0.64, 'grad_norm': 2.0324556827545166, 'learning_rate': 0.00029990999583202817, 'epoch': 0.25}
{'loss': 0.5985, 'grad_norm': 1.8873988389968872, 'learning_rate': 0.00029987749875141516, 'epoch': 0.26}
{'loss': 0.6729, 'grad_norm': 2.108858346939087, 'learning_rate': 0.00029984000503697594, 'epoch': 0.27}
{'loss': 0.618, 'grad_norm': 1.857081651687622, 'learning_rate': 0.00029979751593868037, 'epoch': 0.28}
{'loss': 0.6045, 'grad_norm': 1.9129678010940552, 'learning_rate': 0.000299750032873035, 'epoch': 0.29}
{'loss': 0.6126, 'grad_norm': 2.8731436729431152, 'learning_rate': 0.00029969755742303603, 'epoch': 0.3}
{'loss': 0.5943, 'grad_norm': 1.870981216430664, 'learning_rate': 0.00029964009133811616, 'epoch': 0.31}
{'loss': 0.6313, 'grad_norm': 1.4409348964691162, 'learning_rate': 0.00029957763653408654, 'epoch': 0.32}
{'loss': 0.6516, 'grad_norm': 1.5261116027832031, 'learning_rate': 0.00029951019509307284, 'epoch': 0.33}
{'loss': 0.6129, 'grad_norm': 2.763573169708252, 'learning_rate': 0.0002994377692634458, 'epoch': 0.34}
{'loss': 0.5726, 'grad_norm': 2.748222827911377, 'learning_rate': 0.0002993603614597464, 'epoch': 0.35}
{'loss': 0.572, 'grad_norm': 2.7463607788085938, 'learning_rate': 0.0002992779742626051, 'epoch': 0.36}
{'loss': 0.5994, 'grad_norm': 1.674460768699646, 'learning_rate': 0.000299190610418656, 'epoch': 0.37}
{'loss': 0.533, 'grad_norm': 1.687185525894165, 'learning_rate': 0.00029909827284044536, 'epoch': 0.39}
{'loss': 0.5673, 'grad_norm': 1.5838956832885742, 'learning_rate': 0.0002990009646063344, 'epoch': 0.4}
{'loss': 0.5095, 'grad_norm': 1.984898328781128, 'learning_rate': 0.0002988986889603964, 'epoch': 0.41}
{'loss': 0.5536, 'grad_norm': 2.7516629695892334, 'learning_rate': 0.00029879144931230906, 'epoch': 0.42}
{'loss': 0.597, 'grad_norm': 2.578333854675293, 'learning_rate': 0.0002986792492372405, 'epoch': 0.43}
{'loss': 0.5879, 'grad_norm': 1.9614111185073853, 'learning_rate': 0.00029856209247573003, 'epoch': 0.44}
{'loss': 0.5223, 'grad_norm': 1.490059733390808, 'learning_rate': 0.00029843998293356376, 'epoch': 0.45}
{'loss': 0.5787, 'grad_norm': 2.012394666671753, 'learning_rate': 0.00029831292468164404, 'epoch': 0.46}
{'loss': 0.5937, 'grad_norm': 1.439152717590332, 'learning_rate': 0.000298180921955854, 'epoch': 0.47}
